transaction_id,date,description,amount,type,balance
TXN-8801,2026-08-14,ACH DEPOSIT - APEX FITNESS CO REF INV-2026-001,3200.00,CREDIT,14200.50
TXN-8802,2026-08-15,MONTHLY STUDIO LEASE - OAK TOWER REALTY,-1450.00,DEBIT,12750.50
TXN-8803,2026-08-17,ADOBE CREATIVE CLOUD MONTHLY SUB,-59.99,DEBIT,12690.51
TXN-8804,2026-08-18,WIRE TRANSFER INCOMING - SOLARIA SOLAR ENERGY,1850.00,CREDIT,14540.51
TXN-8805,2026-08-22,DIRECT DEPOSIT - BLUEWAVE COFFEE PACKAGING,2400.00,CREDIT,16940.51
TXN-8806,2026-08-25,FIGMA PROFESSIONAL ANNUAL SUB,-30.00,DEBIT,16910.51
TXN-8807,2026-08-27,ACH CREDIT - NEXA HEALTH LABS PARTIAL INV-2026-004,3000.00,CREDIT,19910.51
TXN-8808,2026-08-30,WHOLE FOODS MARKET GROCERY,-84.20,DEBIT,19826.31
TXN-8809,2026-09-01,ZELLE INCOMING FROM CLARA DIAZ - GREENROOTS,950.00,CREDIT,20776.31
TXN-8810,2026-09-02,ACH CREDIT - URBANBITE FOOD TRUCK INV-2026-007,750.00,CREDIT,21526.31
TXN-8811,2026-09-03,CANVA PRO DESIGN TOOLS SUB,-12.99,DEBIT,21513.32
TXN-8812,2026-09-05,WIRE TRANSFER - PULSE DYNAMICS (LESS $25 WIRE FEE),3075.00,CREDIT,24588.32
TXN-8813,2026-09-05,ACH DEPOSIT - KINETIC APPAREL INV-2026-008,2800.00,CREDIT,27388.32
TXN-8814,2026-09-06,BLUE BOTTLE COFFEE ROASTERS,-6.50,DEBIT,27381.82
TXN-8815,2026-09-06,ATM CASH WITHDRAWAL DOWNTOWN BRANCH,-100.00,DEBIT,27281.82
TXN-8816,2026-09-06,UNMATCHED DEPOSIT - STRIPE PAYOUT REF 99401,350.00,CREDIT,27631.82
